,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252
2923,,2022-01-12,L2205,12486.57819597367,12684.61723427517,12699.07263853075,12486.57819597367,0,479819,12486.57819597367,12592.10264703943,12363.7072598012,290585,13228.14043428514,11499.27408531726,8691,5,0.01586015281315087,0.013740045023691208,0.013637048618538459,0.014179033422090186,0.014968285934954575,0.015199240907916816,0.014575397699172937
2924,,2022-01-13,L2205,12703.40925980743,12654.26088533844,12726.53790661636,12596.43926831611,0,364279,12684.61723427517,12670.16183001959,12592.10264703943,293387,13472.43676620451,11711.76852787435,8780,5,-0.0023931623931626195,0.013383855836560637,0.012617336442694069,0.014187147366423939,0.014936407844589243,0.015125328608408534,0.014575881783287427
2925,,2022-01-14,L2205,12654.26088533844,12806.04263002208,12839.29005980992,12626.79561725283,0,447395,12654.26088533844,12745.32993214862,12670.16183001959,309975,13556.2781108869,11784.04554915227,8835,5,0.011994516792323927,0.013937397993297988,0.012755372873954118,0.01425155275472099,0.014969562267193481,0.015128367054954135,0.01453985209426085
2926,,2022-01-17,L2205,12806.04263002208,12683.17169384961,12859.52762576774,12639.80548108286,0,413141,12806.04263002208,12719.31020448857,12745.32993214862,293791,13637.22837471817,11853.43148957908,8786,5,-0.009594762388531781,0.010396680034476054,0.01273078679412513,0.014089638262607458,0.014957258333279254,0.015156114816131255,0.014551604344131795
2927,,2022-01-18,L2205,12683.17169384961,12847.96330236327,12863.86424704441,12590.65710661387,0,420589,12683.17169384961,12719.31020448857,12719.31020448857,320156,13608.317566207,11830.30284277014,8732,5,0.012992933667654435,0.011129237267626942,0.012957798658911928,0.014124081892384927,0.01423919290944767,0.015161257618757036,0.01456526576253842
2928,,2022-01-19,L2205,12821.94357470322,12911.56708108784,12975.17085981241,12803.15154917096,0,418574,12847.96330236327,12886.99289385335,12719.31020448857,324910,13608.317566207,11830.30284277014,8907,5,0.004950495049504866,0.009624684440481769,0.012960820025875527,0.013828196920683539,0.014191373221316658,0.015142803360713636,0.014554374291611827
2929,,2022-01-20,L2205,12930.3591066201,12993.96288534467,13001.19058747247,12847.96330236327,0,343046,12911.56708108784,12930.3591066201,12886.99289385335,328406,13789.01011940181,11984.97566830489,8945,5,0.006381549484997762,0.009043416557896521,0.012964526632338713,0.013857968363429035,0.01404789692415823,0.015109572003679324,0.014551162115129605
2930,,2022-01-21,L2205,12993.96288534467,12962.16099598239,13009.86383002582,12729.42898746748,0,525497,12993.96288534467,12894.22059598114,12930.3591066201,324503,13835.26741301968,12025.45080022053,8961,5,-0.002447435754810975,0.008687979774210883,0.013018520934635286,0.013860334551965135,0.014006200694225908,0.015054226684752571,0.014501449782553947
2931,,2022-01-24,L2205,12930.3591066201,12847.96330236327,13148.63571087942,12840.73560023548,0,523012,12962.16099598239,12985.28964279132,12894.22059598114,308363,13796.2378215296,11992.20337043268,9075,5,-0.008810081409613401,0.008418783596519899,0.013167414472507159,0.013304375952216736,0.01404556943533949,0.015064504248321866,0.014511604683904108
2932,,2022-01-25,L2205,12847.96330236327,12852.29992363995,12915.90370236452,12774.24074065979,0,330088,12847.96330236327,12836.3989789588,12985.28964279132,309176,13893.08903004201,12077.49025554063,8855,5,0.0003375337533756729,0.006101619077002623,0.011566948974356875,0.013230923096962575,0.013263915542443055,0.015054739222612919,0.014501707619435951
2933,,2022-01-26,L2205,12807.48817044764,13102.37841726155,13109.60611938935,12797.36938746873,0,411668,12852.29992363995,12991.07180449355,12836.3989789588,334525,13734.07958323058,11938.71837468702,9002,5,0.019457878753795437,0.010706734538199212,0.011866299243286043,0.013102108162906207,0.013459199467211797,0.015146144412912793,0.014537943812125193
2934,,2022-01-27,L2205,13111.0516598149,13073.46760875038,13218.02165130623,13057.56666406924,0,376805,13102.37841726155,13124.06152364493,12991.07180449355,321572,13900.3167321698,12081.82687681731,9075,5,-0.0022065313327451277,0.010714266159273062,0.01177777395463839,0.013080217005386955,0.013464890677835448,0.015131541271895255,0.014523552650981476
2935,,2022-01-28,L2205,13111.0516598149,12850.85438321439,13173.20989811392,12832.06235768213,0,397194,13073.46760875038,13015.64599172805,13124.06152364493,291960,14435.16668962642,11812.95635766344,9057,5,-0.017027863777089224,0.013578917694295967,0.012560318425560667,0.013138426508883224,0.01364503026563453,0.015109449309059933,0.014563738382500947
2936,,2022-02-07,L2205,13098.04179598488,13657.46594067599,13749.98052791173,13093.7051747082,0,486476,12850.85438321439,13601.08986407921,13015.64599172805,331516,14316.63237473063,11714.65960872547,9061,5,0.0627671541057367,0.030867313105104942,0.018295527254883707,0.01604755927983388,0.015593286316608116,0.016073972635754656,0.015028137152944963
2937,,2022-02-08,L2205,13628.55513216482,13486.89217046009,13676.25796620825,13417.50623003329,0,472383,13657.46594067599,13492.67433216233,13601.08986407921,330772,14552.25546409665,12649.92426406177,9385,5,-0.012489415749365277,0.03263070803139016,0.018086165067056997,0.016166245181981502,0.015497801324274271,0.016088609488020666,0.015050409725457311
2938,,2022-02-09,L2205,13356.79353215984,13054.67558321813,13408.83298747994,13043.11125981366,0,527166,13486.89217046009,13212.239489604,13492.67433216233,321940,14436.61223005198,12548.73643427268,9180,5,-0.032047159699892254,0.036801280483711715,0.01927797270397119,0.016969832410914563,0.01593011176451116,0.016346288432787726,0.015183466885207162
2939,,2022-02-10,L2205,13056.12112364368,13102.37841726155,13186.21976194394,13018.53707257917,0,381493,13054.67558321813,13098.04179598488,13212.239489604,328435,14135.93982153583,12288.53915767216,9085,5,0.003654080389768024,0.03681475363686713,0.019176521257513825,0.016849385216772407,0.015681817529271173,0.01634789309730148,0.015147578901543992
2940,,2022-02-11,L2205,13102.37841726155,12947.7055917268,13220.91273215735,12920.24032364119,0,568673,13102.37841726155,13073.46760875038,13098.04179598488,329346,14014.51442578892,12181.56916618084,9079,5,-0.011804942630185233,0.036246070209456506,0.019371529139657718,0.016983692223419566,0.015757066432288355,0.016304906054131183,0.015160705576252065
2941,,2022-02-14,L2205,13014.20045130249,12914.45816193896,13122.61598321937,12885.54735342779,0,490189,12947.7055917268,12991.07180449355,13073.46760875038,328387,13988.49469812887,12158.4405193719,8990,5,-0.0025678240482302694,0.013524790709892119,0.018788191892722943,0.016587249356198434,0.01575128798398241,0.01623218646677714,0.015117128233364101
2942,,2022-02-15,L2205,12850.85438321439,12927.46802576899,13148.63571087942,12781.46844278758,0,596053,12914.45816193896,12933.25018747122,12991.07180449355,332305,13900.3167321698,12081.82687681731,8892,5,0.0010073875083953332,0.014479159141973712,0.018771729633226243,0.016106947453807956,0.015735339751273603,0.01623049241165068,0.015117134716623678
2943,,2022-02-16,L2205,12855.19100449106,12830.61681725657,12862.41870661886,12720.75574491413,0,493541,12927.46802576899,12797.36938746873,12933.25018747122,327911,13838.15849387079,12028.34188107164,8846,5,-0.00749189310074964,0.006270088196862583,0.018583054802206938,0.0161011255960248,0.01575949973203069,0.01624644910435033,0.01509720801259776
2944,,2022-02-17,L2205,12865.30978746997,12554.51859597491,12865.30978746997,12518.38008533595,0,514116,12830.61681725657,12660.04304704068,12797.36938746873,328887,13692.15891088939,11902.57986404806,8782,5,-0.02151870211807127,0.00876075884891413,0.019233125661865837,0.01613327663581019,0.015973148565900663,0.01636977890762347,0.015152631770601699
2945,,2022-02-18,L2205,12605.11251086946,12622.45899597616,12691.84493640296,12532.83548959153,0,350400,12554.51859597491,12628.24115767839,12660.04304704068,316054,13546.15932790799,11773.92676617336,8716,5,0.005411629245826394,0.010361927633744815,0.019068659755217102,0.016123274089289236,0.015511401797909082,0.016373606974123586,0.01515229106300567
2946,,2022-02-21,L2205,12547.29089384712,12566.08291937938,12619.56791512504,12486.57819597367,0,418997,12622.45899597616,12551.6275151238,12628.24115767839,319396,13511.46635769459,11745.01595766219,8714,5,-0.004466330737517291,0.010283549775546836,0.018974914696419057,0.015988663469269627,0.015521271267904157,0.01628635879709167,0.015126107837290228
2947,,2022-02-22,L2205,12566.08291937938,12554.51859597491,12739.54777044639,12540.06319171933,0,426319,12566.08291937938,12636.91440023174,12551.6275151238,332315,13429.07055343776,11674.18447680983,8783,5,-0.000920280685609253,0.010015375948679149,0.01871534535522046,0.01599067030845953,0.015522060239946183,0.01628622718225197,0.015126210013093656
2948,,2022-02-23,L2205,12586.3204853372,12719.31020448857,12771.34965980867,12555.96413640047,0,390302,12554.51859597491,12681.72615342405,12636.91440023174,339561,13520.13960024794,11753.68920021554,8750,5,0.013126079447322971,0.012955943599527845,0.018939899730502457,0.016099127416932982,0.015580377376420944,0.016323617618233813,0.015118529378030779
