,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close
153,,2010-08-19,RU1101,21536.69215024314,21709.05295019628,21721.66471604651,21381.1470380903,0,1011694,21334.90389663945,21561.9156819436,21397.96272589061,312202,22036.95886230227,20754.76266752887,25615,5,0.017536945812807896,0.010997153504733972,0.014980059214803835,0.015044391313792803,0.016603551826380212,0.017487857471024073,,1.17068601407645,1.6662279566430658,1.3809849087764825,2.5034316953715985,1.6062566836695662,0.617133982070689,,-0.021301316808675006,-0.028079008520526427,-0.05170410534469407,-0.03776142525174277,-0.01161890007745917,-0.32757462442556584,0.14765775580323473,0.04472906403940879,0.0005809450038729502,0.01510457010069687
154,,2010-08-20,RU1101,21633.38235509491,21246.62153568785,21654.40196484529,21166.74701863639,0,1105640,21709.05295019628,21389.55488199045,21561.9156819436,260218,22205.11574030534,20914.51170163178,25730,5,-0.021301316808675006,0.017553189474647925,0.014758656810817486,0.015562499599999162,0.016860098485107916,0.017470315904674925,,-1.443309989636863,-0.061824467549510514,0.5996774447196176,1.5565822283011286,1.454929818348322,0.32862738853619067,,-0.006925207756232829,-0.03106450336367281,-0.016818361693708324,0.009893153937474981,0.014246141669964144,0.06379596992766587,-0.03821243938219486,0.0342757552285054,0.019192718638701804,0.0037593984962406637
155,,2010-08-23,RU1101,21351.71958443976,21099.48426743516,21393.75880394053,20990.18229673316,0,1086510,21246.62153568785,21183.56270643669,21389.55488199045,273454,22028.55101840212,20746.35482362871,25395,5,-0.006925207756232829,0.01792842839707135,0.014585113189950209,0.015553377641841375,0.016870234939316473,0.017394157124672394,,-0.474813439295391,-0.4367989132540635,0.5490129930692336,1.6351093411329574,1.4602216434578157,0.16174967605717103,,-0.024307631002192007,-0.009962143853357473,0.01693564455070717,0.0213189878461844,0.029089460051803,-0.005605802973843204,0.14328755120706485,0.025524337158686308,0.013947001394700082,0.005180314803745961
156,,2010-08-24,RU1101,21040.62936013408,20586.60578952579,21053.24112598431,20502.52735052426,0,1341658,21099.48426743516,20796.80188702963,21183.56270643669,233576,21818.35492089828,20502.52735052426,25025,5,-0.024307631002192007,0.017294339341972213,0.015891417291290306,0.015379878257256133,0.016974908974125614,0.01741406836285065,,-1.529607495456961,-1.8784592079983138,-0.2736550562303509,1.1906903352206788,0.9007079299990053,-0.11664259540644813,,0.014702879313865744,0.042270778027363905,0.04676332448437845,0.05472738411272229,0.03410251174188305,0.019996134412016458,-0.22509818836074805,-0.011356843992827447,0.02266693894220958,0.004084133142740337
157,,2010-08-25,RU1101,20552.97441392518,20889.28816993132,20914.51170163178,20494.11950662411,0,1320038,20586.60578952579,20758.96658947894,20796.80188702963,245302,21418.98233564099,20170.4175164682,24445,5,0.014702879313865744,0.019582598679335646,0.014793405826889304,0.0154868957218031,0.016988000390854317,0.01744572199441662,,0.9938806172099317,-0.6563793195980204,0.29937920611881946,1.014685736672675,1.199053409702322,-0.09103491255264237,,0.0271684443550011,0.0315958945461865,0.039444556248742296,0.01911853491648234,0.033608371905816316,0.23164174476655006,-0.17591704627187724,-0.037982438227486016,0.0012074864157779622,0.018917287180519028
158,,2010-08-26,RU1101,21170.95094058646,21456.81763319168,21545.09999414329,21141.52348693593,0,880610,20889.28816993132,21292.86467713869,20758.96658947894,249144,21545.09999414329,21141.52348693593,25180,5,0.0271684443550011,0.02249514034830718,0.015326187631320778,0.015510789539622491,0.01709542676825627,0.01761203574291814,,1.7726811786826453,0.6379798535330846,0.5862175910576098,1.0972354952118417,1.2039604551574623,0.05831102519430562,,0.004310344827586253,0.011951410658307206,-0.00783699059561123,0.0062695924764891876,0.02742946708463973,-0.0993032018775217,-0.2570627226846907,-0.025759710203260174,0.004114420062695807,0.014694357366770909
159,,2010-08-27,RU1101,21465.22547709183,21549.30391609337,21620.77058924467,21339.10781858953,0,867488,21456.81763319168,21465.22547709183,21292.86467713869,243466,21927.65689160028,20653.86854072702,25530,5,0.004310344827586253,0.019792700842861197,0.015263405195528112,0.015347847497306836,0.016971896323574598,0.017535059329064136,,0.28239732696404485,1.7688594146192136,0.5061081343788898,1.0178185767547758,1.0771296699836752,0.19551233535285545,,0.007608271556769361,-0.012095200936402643,0.0019508388607102183,0.023019898556379426,0.023214982442450263,-0.27043980876892154,-0.06723822367787304,0.010188087774294209,0.003316426063206915,0.009754194303550585
160,,2010-08-30,RU1101,21734.27648189674,21713.25687214636,21856.19021844897,21578.73136974391,0,1012108,21549.30391609337,21738.48040384682,21465.22547709183,254734,22108.42553545357,20817.82149678002,25850,5,0.007608271556769361,0.019024875248906156,0.01476101893433181,0.015358344708203476,0.016984237138579467,0.017539011478730774,,0.5154299706962449,1.542801704244788,0.7028227871392885,0.8453661687424655,1.1469562874388868,0.21039745224979742,,-0.019554695062923465,-0.005614714424007583,0.015295256534366156,0.015488867376573148,0.027686350435624608,-0.08576718064111549,-0.07688958622559207,0.02945766679672225,0.006582768635043541,0.006195546950629058
161,,2010-08-31,RU1101,21532.48822829306,21288.66075518861,21599.75097949429,21229.80584788754,0,986414,21713.25687214636,21452.6137112416,21738.48040384682,247646,22390.08830610872,21082.66857963485,25610,5,-0.019554695062923465,0.017166388645387106,0.015531536253099616,0.015778730726884186,0.01718353501585913,0.01761941302155967,,-1.2590316079660795,-0.2913226712592401,0.4426517251826803,0.5642967425905693,0.9515834595615443,0.12043647959423337,,0.014218009478673091,0.03554502369668264,0.03574249605055292,0.04818325434439194,0.04225908372827785,-0.35099416267829125,0.055234087322461864,0.043562439496611906,0.014612954186413825,0.0027646129541863346
162,,2010-09-01,RU1101,21406.37056979076,21591.34313559414,21826.76276479843,21385.35096004038,0,1100210,21288.66075518861,21645.99412094514,21452.6137112416,238520,22095.81376960334,20805.20973092979,25460,5,0.014218009478673091,0.0171122000718969,0.015128238808164163,0.015849028761877677,0.01715821365404117,0.017353911358408722,,0.9398324325102632,0.07445131952628847,0.8659991051401652,0.4691360699613505,1.2242359608900073,0.4381681152449106,,0.02102803738317764,0.0212227414330217,0.03348909657320877,0.027647975077881328,0.029984423676012104,-0.2228557177817833,-0.027385865307737657,0.024289099526066508,0.010903426791276944,0.009540498442367495
