,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,amount,high-low,prevclose-low,high-prevclose,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252,low_close_high,d_low_close_high,mean6,mean12,dif,dea,macd,sma_low_close_high9,sma_low_close_high6,std_vol6,ddif_vol,norm_ATR,sq5_low_close_open_high
388,,2022-09-07,PK2301,8295.608936308596,8384.931272153734,8506.734457397106,8243.639577271422,0,174216,8316.721488417446,8396.299569443116,8292.360851368772,109873,8873.768055597135,7710.953647140409,10216,5,0.008201523140011569,871080,263.09488012568363,73.08191114602414,190.0129689796595,0.011637982260315427,0.010250704208966248,0.010200938936078242,0.012327510984489464,0.013656883269104454,0.012744764520063996,0.8000936299418073,2.0345449471975097,0.9730423777535168,0.22866090909056278,-1.0233475671686239,-0.023373548971607618,-0.3504397817019876,0.005229517722254611,0.005616889405384598,-0.0005810575246947639,-0.0009684292078247511,0.00464846019755963,1.6082451974962229,0.36803363787375415,0.017133048510494502,0.014526438117373653,0.01685066821615336,0.30867636364966633,0.5869507597657153,0.11823701123008805,0.402419497759513,0.13646013683469754,0.4697389996834839,1460789186.5095348,248216723.7280001,511677555.3155886,0.4851037946640182,2.0006588647107715,2.819604930380105,3.0622970378733423,1.1844217423582803,1.2656812080965032,1.6669969204769644,-0.2581213278814488,0.8618895020719913,0.18948355875987002,1.2142178039265334,0.9367449881103145,0.3650294502751692,0.07407407407407177,-0.4028490028490126,0.020515004891952904,0.03246484710531705,22.902511412655258,-14.067110445674421,73.93924371665936,1.0364855004067366,1.032013576297968,0.5975226285219019,-2.0993242633894808e-05,0.03137710633352701,-1.0995166415746485
389,,2022-09-08,PK2301,8355.698507695324,8428.780418841348,8441.772758600642,8311.849361007711,0,82988,8384.931272153734,8391.42744203338,8396.299569443116,111590,8984.202943551125,7808.396195335106,10290,5,0.005229517722254611,414940,129.923397592931,73.08191114602232,56.841486446908675,0.008125917084447104,0.010262124795638018,0.010218630498057693,0.012270313391702613,0.013490523701737183,0.012699123123942918,0.509594048639659,1.037768574150146,1.6502999167989667,0.23951102810902883,-0.8203568628547435,0.23687056023690628,-0.21316011916884925,0.00038535645472064043,-0.0057803468208091745,-0.006165703275529816,-0.0005780346820809607,-0.0007707129094412809,0.09287321485971438,0.43323655493160285,0.033507650590741726,0.0015414258188825617,0.013872832369942193,0.41597788494277815,0.6906538782217968,0.1519922090884223,0.38542120364270954,0.1765244697281514,0.45087977942739044,699487629.3988059,247765712.8328273,530113138.5539161,0.4673827053385281,1.8028069775733715,2.7700114888479526,2.9237263383490055,1.281344179111801,1.2952550043931848,1.6669832188767746,-1.1642529049453678,0.7430731331795791,0.33769153346296255,0.5856091370498794,0.9192639886040024,0.36959928857342517,0.7999999999999888,0.7259259259259171,0.020147420147420103,0.032991668826921616,40.728381012858335,-3.10801215396787,87.67278633365241,1.0132669923131392,1.1324019414552953,0.5461857142792212,0.0044065785073178,0.015414258188824755,-8.616534191526679
390,,2022-09-09,PK2301,8430.40446131126,8432.028503781172,8475.877650468785,8391.42744203338,0,74248,8428.780418841348,8433.652546251084,8391.42744203338,113238,8979.33081614139,7803.524067925372,10382,5,0.00038535645472064043,371240,84.45020843540442,37.352976807967934,47.097231627436486,0.008519077356552725,0.010255264435223677,0.00988474601724407,0.011365097719587155,0.0134652349148434,0.01269082593562105,0.03757645228503905,0.7805416502160473,1.5434059311096662,0.2707235142544904,-0.3738271791383957,0.15646484053809942,-0.16722203719616585,-0.006163328197226452,-0.006548536209553132,-0.0009630200308167006,-0.0011556240369800408,0.023305084745762646,0.34401359232660145,0.2541267138632494,0.04007707129094402,0.005200308166409752,0.004815100154083287,0.4582306334347895,0.7705531593657383,0.14789443077213238,0.3316557190922261,0.1718213090736454,0.4276592346556828,626061252.3487444,247026201.4645761,540799954.3516761,0.45677925724072405,2.0652925534181437,2.723094486163569,2.8415494584399434,0.8778106762141326,1.3147332967302676,1.6684166073255386,-0.5059573073368364,0.49556112822855586,0.4332421574365133,0.42891759779450145,0.90668112781835,0.37431929631767635,-0.03846153846151941,-0.8384615384615083,0.013237924865831863,0.029043847494450103,54.489483560775625,8.41148698898083,92.1559931435896,0.8971657285986603,1.1228456874652946,0.5328382081381648,0.008433806392970412,0.010015408320493038,-0.9250345841303805
391,,2022-09-13,PK2301,8404.419781792674,8380.059144744,8516.478712216576,8368.690847454618,0,111245,8432.028503781172,8430.40446131126,8433.652546251084,120837,9024.804005298916,7842.501087203251,10350,5,-0.006163328197226452,556225,147.7878647619582,63.33765632655377,84.45020843540442,0.005596200206468215,0.009860412438541606,0.009408020169567259,0.011347343558569556,0.01335206613720157,0.012684442064549767,-0.6250578498254007,-0.03402228054740451,1.3977599183223117,0.4475724667189464,-0.36544807680851404,0.29478577151704416,-0.2659042697955626,-0.00038759689922483016,0.0052325581395347735,0.005038759689922358,0.029651162790697554,0.035271317829457374,0.6814324964982221,0.25910913297656263,0.015215716486903006,0.016279069767441784,0.0013565891472869056,0.5306340903815642,0.7906583377036959,0.05085612773517743,0.2083111879978049,0.0530973838924179,0.3525844385812061,932239679.5570463,259904098.13847995,566659772.2148337,0.45865987120035817,1.626056344643533,2.166637132056301,2.3273669400869026,0.9212445744818109,1.307250858840976,1.66673917072359,-0.9065946238838752,0.21421426591385262,0.36554333539389466,0.3125965618994836,0.8901851664788071,0.3803195378429378,-0.8461538461538367,-0.8076923076923173,0.0012288985188539936,0.01840980220677113,60.504307530558435,18.83005109729635,83.34851286652417,0.7725078613113209,0.7529178024475807,0.43390808558184507,0.010887880991956735,0.017635658914728687,-0.08455163623922038
392,,2022-09-14,PK2301,8323.217658297093,8376.811059804177,8404.419781792674,8323.217658297093,0,70870,8380.059144744,8362.194677574971,8430.40446131126,125233,9021.555920359093,7839.253002263427,10250,5,-0.00038759689922483016,354350,81.20212349558096,56.841486446906856,24.360637048674107,0.0055303879955717165,0.009864094445757803,0.00929778638501647,0.01133608294552679,0.013350340570446153,0.012657053561421397,-0.03929371331106039,-0.36088162633128756,1.2106879399863284,0.4001807619165699,-0.31599442000621214,0.31124926492629074,-0.18592290003414566,0.005622334238076687,0.005428460643660235,0.03005040713454818,0.035672741372625084,0.04749903063202782,-0.029286709515034384,0.23927273930997955,0.0007751937984496603,0.003295851105079475,0.006397828615742497,0.5561548848567526,0.8099411385867609,0.05670719602071392,0.1674360245505836,0.05932318239190463,0.34064962718700836,593664599.808322,251800153.02108628,581702461.415527,0.43286760796636564,1.587840149359547,2.1368577723905706,2.469431455851844,1.008284364836121,1.3100791655261204,1.6725745855339975,0.5667656870463276,-0.09905362240840464,0.3011326930139622,0.20461358389226206,0.8737682404522804,0.3866771181728272,0.3199999999999991,1.1661538461538359,-0.0011618900077460248,0.014404200580630189,64.26816218370004,27.91767331457709,72.70097773824591,0.7552120412289589,0.368333995574832,0.4104047802668399,0.013817162047474879,0.009693679720821972,-1.8798693979192185
393,,2022-09-15,PK2301,8358.946592635148,8423.908291431613,8435.276588720995,8358.946592635148,0,67176,8376.811059804177,8402.795739322763,8362.194677574971,127026,8948.474009213069,7775.915345936874,10294,5,0.005622334238076687,335880,76.3299960858476,17.864467169029012,58.465528916818585,0.004817976573308418,0.009913304324599208,0.00932217933807306,0.011346161825447332,0.013271832055592825,0.012660395414457659,0.5671503722654047,-0.05608623076841764,1.5508379629002758,0.5368120728097382,-0.1851136822548868,0.20277104972982146,-0.17038198314837458,-0.00019278966647388895,0.024291497975708495,0.02988239830345106,0.04164256795835742,0.047233468286099985,-1.510371102017779,0.1369686903611668,-0.0031019775106630224,0.0013495276653172226,0.007711586658955126,0.5297013557595358,0.8487267751680038,0.04967595685888917,0.19300351797919868,-0.01932429911547442,0.34599736466250847,565884463.38521,250481700.03770545,586474222.765531,0.4270975437872682,1.6842764846132443,2.2110530246474043,2.4594002750006885,1.1005898187304906,1.3223245395392067,1.6828017037614207,-0.566765687043411,-0.2887164985020424,0.24520826731296197,0.12588952467735298,0.8590069406672515,0.3916073085528948,0.7021276595744539,0.38212765957445477,0.002318840579710102,0.016020833450874683,70.24169456674281,36.382477565010234,67.71843400346515,0.8429832525831679,0.4873126941293547,0.42475801172449706,0.018006989666530165,0.009061114324272349,-5.497326766161256
394,,2022-09-16,PK2301,8449.892970950199,8422.284248961701,8482.373820348432,8365.442762514795,0,94769,8423.908291431613,8432.028503781172,8402.795739322763,130257,8992.323155900684,7813.268322744841,10406,5,-0.00019278966647388895,473845,116.93105783363717,58.465528916818585,58.465528916818585,0.0041780620290391935,0.008884212386490058,0.009314272091447088,0.011341201991426767,0.013263591344622263,0.012572571702254919,-0.02170025412348968,0.32744931534756305,1.4879859378707463,1.0556309935737394,-0.1701524532158959,0.2754559355713141,-0.024929181531145133,0.024489008870034714,0.0300809872734286,0.04184342460470498,0.04743540300809886,0.055919784033937533,0.17537513397642016,0.14695416686347676,0.0025062656641603406,0.007134593135364453,0.006748939452371756,0.5559432406172892,0.8587488148620421,0.05451704133294295,0.08296629395586742,0.06737804882211275,0.25902153148348356,798171455.9898515,254925713.77965444,596426643.3004081,0.42742174019756773,0.9429556197425876,1.9720896697547952,2.2597587063757505,1.180968467764491,1.3475046178451597,1.6836277278838097,-0.5252742698130954,-0.5681358099318311,0.059338739626894954,0.05955898194222388,0.8421201173254769,0.3925717264143048,-0.027777777777779507,-0.7299054373522333,0.0013838380587647414,0.013084178515248679,73.99178413344453,43.90433887869709,60.17489050949487,0.689979003304719,0.30502415202504307,0.20089436181365555,0.021789405140450267,0.01388353258773621,-0.9615522481343514
395,,2022-09-19,PK2301,8557.079773964368,8628.537642640478,8712.987851075883,8557.079773964368,0,152796,8422.284248961701,8654.522322159064,8432.028503781172,138679,9023.179962829005,7840.877044733339,10538,5,0.024489008870034714,763980,155.908077111515,-134.79552500266618,290.7036021141812,0.011835191174037406,0.008715493500759088,0.009911998496890008,0.011736334681482772,0.013351932560187876,0.012658766651585595,2.8098246952856782,1.990663024059183,2.3048930631423667,2.2723306019178677,0.09198504746003736,0.35446584326943714,0.0989560519894848,0.0054583098061360205,0.016939582156973457,0.022397891963109477,0.030679465462074163,0.01656314699792958,0.8288364338549525,0.1953138794844039,0.014847666795217951,0.009787314135140196,0.008281573498964684,0.701983324854951,0.8869525060439104,0.35801556255565486,0.2145276480449624,0.2733135799172875,0.1957565736032826,1318406037.6448946,301852742.12436926,630864469.9061509,0.47847478582725333,0.9580793658263507,1.5265222025124972,1.7854728658358159,1.1909357291926181,1.3162262836882619,1.6770261435276699,1.9830081159754607,-0.12367360922680296,0.18095064695729035,0.1498885345677238,0.8193245805618046,0.3904578999014587,-0.08333333333333917,-0.05555555555555966,0.02186177715091686,0.03297094991980032,92.53993945343063,53.631458993643804,77.81696091957366,0.8203111811179375,0.8402389629771031,0.3449800487568609,0.025032088337259912,0.03369094673442498,-0.8116919636769362
396,,2022-09-20,PK2301,8610.673175471451,8675.634874267917,8701.619553786502,8610.673175471451,0,95322,8628.537642640478,8669.13870438827,8654.522322159064,145189,9261.914205906014,8047.130438412116,10604,5,0.0054583098061360205,476610,90.94637831505133,17.864467169027193,73.08191114602414,0.010203589943628901,0.008719425308675064,0.009911795673674312,0.010791330591367922,0.013358108476753,0.012621215772664163,0.6259942155482977,1.9786408041553207,1.9643758470346968,2.303524390122179,0.7199569281573827,0.43191257699516866,0.01973552361063844,0.011418944215649438,0.016847622613253458,0.02508423811306614,0.011044552602021558,0.0043055035567201765,-0.104210843215791,0.17559976636693372,0.026726896292113653,0.0029951329090228134,0.007487832272557138,0.661392704212136,0.9085102465955698,0.3661917157941837,0.21007890702996918,0.2700166541146942,0.20422750217204882,826978867.4849664,298479905.96546143,653575310.9144863,0.45668785368869985,1.4609279239909114,1.434337284892486,1.6693394737608274,1.1111172532958793,1.3132942658351743,1.6833525136616434,0.5853229634822408,-0.03457964797609243,0.22563283888821326,0.38149523768467064,0.7933003958414087,0.3904000518458615,0.42857142857143427,0.5119047619047734,0.022522809927901566,0.032420157510750336,109.77442788861663,64.86005277263837,89.82875023195652,0.9119616739861905,0.9665068467226926,0.31650054386504256,0.028040349369217163,0.010482965181579953,-2.407793331006879
397,,2022-09-21,PK2301,8701.619553786502,8774.701464932525,8784.445719751995,8631.785727580302,0,129503,8675.634874267917,8699.99551131659,8669.13870438827,153547,9276.530588135218,8061.74682064132,10716,5,0.011418944215649438,647515,152.65999217169337,43.84914668761485,108.81084548407853,0.009401798754572317,0.008821272901621404,0.0099744866674309,0.010821689847478994,0.0133929271409776,0.012636345467440038,1.294478058098686,2.73864245316589,2.3098317217379223,2.5625122387079178,0.7434454414667551,0.5620957819008834,0.1413621246546745,0.005367388487877231,0.01351101240051824,-0.00037016472330189226,-0.007033129742735539,-0.014436424208772763,0.6151045928536959,0.19501477384650354,0.03743916136278548,0.0011104941699056768,0.016287247825282222,0.68775328112869,0.9313598990177347,0.3887622091586423,0.25241802928401935,0.3001053484987861,0.20558708605092849,1136350163.8131568,310905479.61242086,690201515.699726,0.45045609512639945,0.3189215812866032,1.0827352322914383,1.3435503587970279,1.1404847587041531,1.3018337402615046,1.6874153199508326,-0.09040066641934696,0.12439843567782002,0.3337734989239979,0.6773173972767593,0.7646363759672986,0.3909677674895784,0.8723404255319073,0.443768996960473,0.02624331254550616,0.037193453952104605,129.928989560216,77.8738401301539,104.1102988601242,0.9776707104986768,1.2227720689137669,0.32938027068398223,0.03043953277917419,0.017397741995187902,-14.065984367994535
398,,2022-09-22,PK2301,8738.972530594468,8821.798696559963,8841.287206198902,8729.228275775,0,129998,8774.701464932525,8802.310186921022,8699.99551131659,163244,9309.01143753345,8090.97958509973,10762,5,0.005367388487877231,649990,112.05893042390198,45.47318915752476,66.58574126637723,0.009427786771161217,0.008816591571502122,0.00951704952902723,0.010613920759103128,0.013386338070088075,0.012619357319896265,0.6087827075064072,1.466715209535132,2.804542148784981,2.5407492648489476,1.0724638990419344,0.5422800387175253,0.09538530340117019,0.00810014727540489,-0.005706921944035493,-0.01233431516936686,-0.019698085419734886,-0.015279823269514112,0.48510073125719094,0.23587566022130033,0.03590597816028127,0.002209131075110387,0.010493372606774699,0.7129445593896415,0.9467981924278462,0.3852773169159581,0.2422183894954332,0.3006517011688539,0.21062845330479138,1146816186.9554021,323398865.7546713,722635627.852154,0.4475268770180763,0.06476637070905243,0.7396922284188849,1.0460737745123851,1.1664682047405217,1.286688217794742,1.685598512860467,-0.9991655980654299,0.378330037992074,0.3367206134628674,0.8607673407924277,0.7415006360800127,0.39326917217143403,0.6521739130434882,-0.22016651248841912,0.022879201581772257,0.03718554584944389,147.99597242920936,91.89826658996499,112.19541167848874,1.0288828017823597,1.2355375760883984,0.27989097273032537,0.03274163971582545,0.012702503681885087,-4.531163814995422
399,,2022-09-23,PK2301,8826.670823969696,8893.256565236074,8898.128692645809,8729.228275775,0,158991,8821.798696559963,8805.558271860846,8802.310186921022,169182,9419.44632548744,8185.174048354605,10870,5,0.00810014727540489,794955,168.90041687080884,92.57042078496306,76.32999608584578,0.007952501783242477,0.008418995670263793,0.00955125857165794,0.010586997396437437,0.013382982673116694,0.012622069839336211,0.9621275022167921,1.7202041899306062,3.14073813728257,3.0927607667000667,1.3789906220527735,0.7451907058808418,0.2121717698331098,-0.013696128560993457,-0.0202702702702703,-0.027574872169466632,-0.023192111029948875,-0.005478451424397301,0.49402298496899955,0.23844674229987015,0.04583946980854192,0.000547845142439771,0.018444119795471062,0.7458541940792213,0.9634405005121999,0.33383019850999796,0.20512942649092497,0.2549245904670477,0.20822179807926328,1413947754.5634487,347005616.60360175,774732332.5337162,0.44790387858054204,-0.8139614750238748,0.5889241768205296,0.8413981970270346,1.1335944715585722,1.2574583150817438,1.6758100307374608,-0.033160367224859155,0.7932372782696335,0.40677234894516573,1.0017120874451055,0.716269534941752,0.39862944882115453,0.9423076923076886,0.2901337792642005,0.021895994028365173,0.03971393310338289,166.16479499954403,106.7515722718808,118.82644545532645,1.123968178637128,1.3811940903486613,0.21571047600540827,0.03555814491943544,0.018991964937910832,-32.42505070318812
400,,2022-09-26,PK2301,8911.121032405103,8771.453379992701,9058.90889716706,8753.588912823674,0,335486,8893.256565236074,8917.617202284748,8805.558271860846,155134,9422.694410427264,8188.422133294427,10974,5,-0.013696128560993457,1677430,305.31998434338675,139.66765241239955,165.6523319309872,0.009833044180865133,0.009434522033659123,0.009795649541949118,0.010149133956205278,0.013437868786948635,0.012651730817813067,-1.4517034898143637,-0.022652414386271025,1.6954559044650155,2.203510821185231,0.6242416562622293,0.4777143580080681,0.10774660888167409,-0.006665432327346786,-0.014071468246620832,-0.009627846695056445,0.008331790409183587,0.034623217922606996,1.1490587517532438,0.09726212008369685,0.031775018261504875,0.03277170894278854,0.002036659877800326,0.6592639274979228,0.9668322694327235,-0.19144012656900095,0.06240218634430976,0.08775120343649981,0.22781718042156854,2942699808.640231,590008345.088494,896868832.7353796,0.6578535495419267,1.9254924332954269,2.2760067895224965,2.386164474246038,2.238782977464486,1.3619663974246208,1.669459709790096,-0.14330718673266515,0.535558423606203,0.27304447200252346,1.0184496744309688,0.6913230322407056,0.3992014250808398,-0.8829787234042603,-1.825286415711949,0.0012049309481878545,0.02162673392181591,168.78951819051144,119.15916145560693,99.26071346980902,0.7943250291722989,0.5527337461317675,0.5120326427210076,0.03740700444470137,0.03480836882058887,-0.067254807407278
401,,2022-09-27,PK2301,8758.46104023341,8712.987851075883,8808.80635680067,8651.27423721924,0,202596,8771.453379992701,8721.108063425441,8917.617202284748,148121,9542.873553200725,8292.360851368772,10786,5,-0.006665432327346786,1012980,157.53211958142856,120.17914277346063,37.352976807967934,0.010638732057646481,0.00971528417958032,0.009742787695663257,0.010031745007164628,0.013393244626683372,0.012623122954933601,-0.6860769282854594,-0.732991444374946,1.3107368945363571,1.9721571611140005,0.6991382271585299,0.5323581154561174,0.15999498782812485,-0.007455731593662464,-0.0029822926374650275,0.015097856477166924,0.04156570363466922,0.03765144454799631,0.31975700923436445,0.01889978985908956,0.00944269579707458,0.010997204100652433,0.007082945013979518,0.6602202010197459,0.9688495444133994,-0.28711347434777207,-0.02452993308914422,0.06958128228480019,0.24732508580153578,1765216486.6765695,604373305.6546198,968774443.2889106,0.6238534778052376,1.639964178173719,1.8570387084856812,2.0466150115659403,2.159811635939786,1.312194522532645,1.6436105642163632,0.5539646437612702,0.3053028420985491,0.1718752859272685,0.9711886246118324,0.6601041932967244,0.39650119585164173,-0.2164948453608257,0.6664838780434346,-0.007063758906813988,0.012025465692053539,164.2584811394663,128.1790253923788,72.15891149417502,0.5918306543231412,0.2618630155519318,0.49211037542278496,0.038129178286961406,0.01808014911463195,-0.6610511345008253
