,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close
855,,2013-07-18,CU1311,90448.5291580562,90339.44550480026,90503.07098468418,89757.66602076853,0,623288,90703.05768232007,90066.73637166039,91375.74021073175,338010,94102.83154213043,88630.46827045707,49750.0,5,-0.004008819402685774,0.010649942719159818,0.01634143358987136,0.01431960668430893,0.016847026796051788,0.013180509819010623,0.011128452851943074,-0.2453162619202819,-0.1416334098562675,0.4493533463996051,0.05359686175605166,-0.6868237219128708,-0.7602010729583184,-0.35597023713703896,-0.003018716039444575,0.01328235057355597,0.011471120949889224,0.01690480982088946,0.016099818877037573,-0.23068255208888905,0.06307681258304305,-0.01904189216275803,0.0018112296236667451,0.006439927550815094
856,,2013-07-19,CU1311,90721.23829119606,90066.73637166039,91375.74021073175,89994.01393615642,0,601718,90339.44550480026,90793.96072670002,90066.73637166039,351128,92757.46648530709,87357.8256491377,49900.0,5,-0.003018716039444575,0.005979889398069174,0.016354371861094848,0.014019531272628054,0.01638279936277517,0.013181112322608912,0.011096867047638048,-0.1845815947615665,-0.4988015414051737,0.11377506534584714,0.031412758662873796,-0.47548122976268103,-0.7625121421495106,-0.41159843263228385,0.016350423899878827,0.014533710133225606,0.01998385143318527,0.019176423092450504,0.0100928542591844,0.03783804597553619,0.115913730363007,0.0042262024552222445,0.014533710133225606,0.0008074283407347648
857,,2013-07-22,CU1311,91084.85046871589,91539.36569061567,91630.26873499562,90721.23829119606,0,554352,90066.73637166039,91230.29533972382,90793.96072670002,333920,93502.87144922272,88066.86939530136,50100.0,5,0.016350423899878827,0.009725448425783746,0.01455379485054131,0.014288105527414429,0.016491136992188474,0.013270906895650313,0.011146129168550746,1.1234474628636597,0.3657694687602828,0.17510901261248776,0.8419796677018935,-0.3265966492540423,-0.7781163271339351,-0.3901868481703235,-0.001787487586891769,0.003574975173783538,0.002780536246276085,-0.00615690168818276,-0.024826216484607744,-0.14706556892098957,0.03117381695564011,0.004238998788857516,0.000993048659384316,0.008937437934458845
858,,2013-07-23,CU1311,91539.36569061567,91375.74021073175,92157.50639239937,91303.01777522778,0,548064,91539.36569061567,91702.99117049959,91230.29533972382,336294,93957.3866711225,88485.02339944914,50350.0,5,-0.001787487586891769,0.009314137832218372,0.014375766141316188,0.013849218593670899,0.0164182417894087,0.013270235948938914,0.011146471876183927,-0.12434033562597407,0.46069577810473045,-0.023049537191741826,0.6106912789234507,-0.23772782589550026,-0.8011236641643104,-0.4028564501291517,0.005372065260644682,0.004576203740549173,-0.0043772383605252966,-0.023079984082769584,-0.027059291683247128,0.02801469102664011,0.02838404408241495,0.001986097318768632,0.008555511341026716,0.0007958615200955085
859,,2013-07-24,CU1311,91921.15847701149,91866.61665038351,92121.14517464739,91175.75351309584,0,628748,91375.74021073175,91630.26873499562,91702.99117049959,325082,94448.26311077426,88939.53862134893,50560.0,5,0.005372065260644682,0.008533072452033807,0.014072858075540252,0.013765936625912542,0.015904098852660573,0.013260452503378862,0.011148850883151323,0.38173235541838935,0.8198535039906651,0.2381193989477725,0.8921731704095193,0.0985429638330761,-0.8302385022820054,-0.3706227193773659,-0.0007916089451810856,-0.009697209578468298,-0.02830001979022365,-0.03225806451612908,-0.026320997427270936,-0.7343485432358264,-0.027006131539664698,0.013330680461599766,0.0027706313081337993,0.007520284979220313
860,,2013-07-25,CU1311,91484.8238639877,91793.89421487955,91921.15847701149,91284.83716635179,0,467778,91866.61665038351,91630.26873499562,91630.26873499562,337360,94375.5406752703,88866.81618584496,50320.0,5,-0.0007916089451810856,0.008017618271228318,0.01379517451974172,0.013725375332029706,0.015900403439761384,0.013253582958571427,0.011133007292875502,-0.05738303230946776,0.11636991963977454,0.5009404200591299,0.6440982939108159,0.06409609215951895,-0.818774076147543,-0.34044356986947977,-0.008912655971479557,-0.02753020400079225,-0.03149138443256094,-0.025549613784907905,-0.009308774014656426,-0.24733279469676245,-0.0019994955119016127,0.012467840886601939,0.0013864131511190422,0.005545652604476169
861,,2013-07-26,CU1311,91957.51969476347,90975.76681545994,92157.50639239937,90684.87707344408,0,531162,91793.89421487955,91339.37899297976,91630.26873499562,351042,94375.5406752703,88866.81618584496,50580.0,5,-0.008912655971479557,0.009467299580963368,0.01394902146041674,0.013774669125656442,0.01538479266769016,0.013270595391444212,0.01114596566163654,-0.63894488920037,-0.1811739807647363,0.55147611716221,0.5564509543197174,0.2856221421903343,-0.8670043386918078,-0.366417571017843,-0.018784972022382055,-0.022781774580335718,-0.016786570743405223,-0.00039968025579536625,0.0,-0.15083223238373758,-0.00025492055963955416,0.02059813824519704,0.012989608313349403,0.00319744204636293
862,,2013-07-29,CU1311,89448.59566987668,89266.78958111677,89666.76297638858,88939.53862134893,0,528664,90975.76681545994,89284.97018999276,91339.37899297976,365528,94066.47032437845,88594.10705270509,49200.0,5,-0.018784972022382055,0.009232321504957543,0.014171041018164524,0.014031955783402873,0.015577561381165141,0.013314571670109273,0.011206332275941885,-1.3255887128054578,-1.152986857000407,0.07326392223147624,-0.031264341415699184,0.10152297001776128,-0.879719944470544,-0.44249283617478347,-0.00407331975560084,0.00203665987780042,0.018737270875763705,0.019144602851323786,0.021995926680244377,-0.04836189335833512,0.09004050797340489,-0.0229816147082334,0.004480651731160925,0.0036659877800407567
863,,2013-07-30,CU1311,89503.13749650466,88903.17740359694,89648.58236751259,88830.45496809298,0,408352,89266.78958111677,89321.33140774474,89284.97018999276,381648,91957.51969476347,86594.24007634606,49230.0,5,-0.00407331975560084,0.009090155515463497,0.013815975341365975,0.014025096507667974,0.015082520244729787,0.01330871724944013,0.01120875797190827,-0.29482679687513935,-1.3159808721470585,0.10740238544792363,-0.31620617159334496,-0.20936734191486706,-0.947796521456299,-0.4705883517171392,0.006134969325153413,0.02290388548057258,0.02331288343558281,0.0261758691206544,0.0261758691206544,-0.2642737163869679,0.12407804600468364,-0.020977596741344164,0.008384458077709664,0.0008179959100204551
864,,2013-07-31,CU1311,88194.1336574333,89448.59566987668,89521.31810538065,88175.9530485573,0,517420,88903.17740359694,88921.35801247293,89321.33140774474,332918,91993.88091251545,86630.60129409804,48510.0,5,0.006134969325153413,0.009320455497013812,0.013723190784422216,0.014030647365494694,0.015003414671765216,0.013322980339020312,0.011192284619934397,0.4470512303973418,-0.7062301537392603,-0.5761879623259958,-0.3634231773277212,-0.2754281489398241,-0.9009337144509948,-0.49456006077265746,0.01666666666666661,0.017073170731707263,0.019918699186991833,0.019918699186991833,0.017682926829268242,-0.27262753702687875,0.02053200855238335,-0.04130879345603266,0.000813008130081306,0.014227642276422692
