,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252,break1,break3,break14,break20,break63,break126,break252,expect1,expect2,expect3,expect4,expect5,d_vol,d_oi,mmt_open,high_close,low_close,corr_price_vol,corr_price_oi,corr_ret_vol,corr_ret_oi,corr_ret_dvol,corr_ret_doi,turnover,sigma_turnover,ave_turnover,norm_turn_std,vol_skew5,vol_skew14,vol_skew20,vol_skew63,vol_skew126,vol_skew252,price_skew5,price_skew14,price_skew20,price_skew63,price_skew126,price_skew252
900,,2023-04-27,NR2307,7474.911789900258,7333.15282720097,7490.237083165045,7325.490180568576,0,37713,7471.080466584061,7398.285323576318,7421.2732634735,61270,8011.297054167831,6827.418149462972,9710,10,-0.018461538461538488,0.019707264244757165,0.011822262906600644,0.011234014655264002,0.010406745824682678,0.012135291457615625,0.012017589271025229,-1.5615909244609154,0.49593356554680285,0.35130066371426905,-0.03811994858904017,-0.8215013447487888,-0.025528683481879543,-0.7807549112608346,0.005224660397074122,0.005224660397074122,-0.001044932079414874,0.02142110762800417,0.014106583072100302,0.34470350260832533,0.12860419397116646,-0.003100738271016941,0.02142110762800417,0.001044932079414874,0.41960953277546514,-0.3296191136998338,0.12483631360962852,-0.14035925792834292,0.20782657562860346,-0.27784710234227916,276555192.57223016,57875925.62520366,206333379.11467746,0.280497154040389,-0.10659678681585055,1.4308267393772656,1.0340924654594557,0.32515249502737487,0.1559623944559244,0.8183911362480557,-0.6643621277047541,0.06804387922678229,0.08959863081304666,0.2744389994309262,-0.08096558861247377,0.504731020760672
901,,2023-04-28,NR2307,7306.333563987591,7371.466060362939,7402.116646892515,7306.333563987591,0,28630,7333.15282720097,7356.140767098152,7398.285323576318,61573,7988.309114270649,6804.43020956579,9615,10,0.005224660397074122,0.019479294114637592,0.011853026257726633,0.011246786833838472,0.010430964319973654,0.012138281813808178,0.011990717637658643,0.4407870431965273,-0.575402852664053,0.3966413532867584,-0.008799207266875135,-0.7873385789093497,-0.018249235257286396,-0.8153685163444218,0.0,-0.006237006237006205,0.016112266112266172,0.008835758835758893,-0.0025987525987524415,0.15069074324503487,0.18168761220825852,-0.01355014865210232,0.004158004158004178,0.00883575883575877,0.4191466132616782,-0.37377265049457126,0.12437443958420963,-0.17560603881414386,0.22692098916960227,-0.22709875556113474,211045073.30819094,57861615.59341779,206203819.0047575,0.2806039959525814,0.1108646232670157,1.35794134528358,1.042086870210369,0.35771977765897967,0.1605602630626801,0.8194734050017691,-0.2972194161643978,-0.06673099559307102,0.09576211569242817,0.3175484830736076,-0.08010766922499354,0.5160586266017616
902,,2023-05-04,NR2307,7279.514300774213,7371.466060362939,7444.261203370682,7268.020330825621,0,27191,7371.466060362939,7371.466060362939,7356.140767098152,63897,7942.333234476286,6766.11697640382,9500,10,0.0,0.016433845814172277,0.011822571077933504,0.011250197429868058,0.010429526114900153,0.011993437413548793,0.011990166548044356,0.0,-0.6511277063551068,0.2760791768132146,-0.0776378398465114,-0.7604306738728945,0.14111901616078357,-0.823430358574295,-0.006237006237006205,0.016112266112266172,0.008835758835758893,-0.0025987525987524415,-0.020270270270270226,0.035277680754453374,0.2613808000259854,0.0027242651081659615,0.009875259875259968,0.014033264033264024,0.4034327088409002,-0.45017214447350856,0.11321936460468292,-0.2163851231900954,0.2374750346340695,-0.2081117227485736,200437533.64732867,56837847.02572676,203608132.49536717,0.27915312777116125,0.1916432330391236,1.4260006919130757,1.2205528385841753,0.4153055711322239,0.1666764796371672,0.8309429679855147,0.31074455726991757,-0.23801242964505007,0.14496921876713587,0.3649169237427842,-0.0768422000087865,0.5266892892894506
903,,2023-05-05,NR2307,7394.454000260122,7325.490180568576,7402.116646892515,7279.514300774213,0,29599,7371.466060362939,7325.490180568576,7371.466060362939,67492,7957.658527741073,6781.442269668609,9550,10,-0.006237006237006205,0.009288178188165807,0.011899030948267999,0.011097269691215295,0.01044561662964342,0.011986874800170003,0.011972518410828175,-0.5241608551252699,-0.05070092009659551,0.08484133187881641,-0.2035301748399858,-0.783472316434947,0.15078633517241868,-0.7905051671221942,0.022489539748954002,0.015167364016736427,0.0036610878661089124,-0.01412133891213388,-0.008891213389121272,-0.37280717884594167,0.35140929934112713,-0.008835758835758893,0.010460251046025092,0.0062761506276150306,0.3739571876127955,-0.5546971033651273,0.10524818831256763,-0.25828451490548554,0.2544558111215353,-0.23715480907002262,216827183.85464928,53941427.50379735,200376071.83121243,0.26920094306088166,1.202743075229572,1.3237528826589506,1.4475814552619468,0.40606992968637196,0.16805456285502973,0.8334902927451131,1.5184125807255568,-0.2795373074877156,0.2854300354967418,0.4192035336738497,-0.06400610861965372,0.5400970312412293
904,,2023-05-08,NR2307,7352.309443781955,7490.237083165045,7501.731053113636,7325.490180568576,0,48733,7325.490180568576,7421.2732634735,7325.490180568576,69992,7907.851324630513,6739.297713190442,9730,10,0.022489539748954002,0.015091274697621379,0.012621189590318492,0.011733258747189654,0.01031732925215669,0.011966442610202169,0.01205392079368182,1.7818874827936475,0.7370478916113815,0.6154811413164025,0.4190424965618209,-0.2650534510800011,0.4775316009607937,-0.6205453469205675,-0.0071611253196930975,-0.01841432225063929,-0.03580562659846549,-0.03069053708439894,-0.021483375959079294,0.059731747694178855,0.13263794227463996,-0.01621338912133885,0.0015345268542200016,0.02199488491048596,0.4971295943399157,-0.39907698414869386,0.3340648043985299,-0.044989271946780374,0.2809941948333478,-0.11563670090596825,365021723.77388215,65073175.22377857,206976761.20282105,0.3143984611876883,1.3270580831239824,1.0224084316353232,1.419262125226891,0.42615932181543625,0.16795454535203752,0.8158821234012211,1.6764266804878876,-0.5498967352128413,0.14739385971973426,0.46177764750378253,0.00507666415855888,0.5567892993691919
905,,2023-05-09,NR2307,7444.261203370682,7436.598556738288,7524.718993010818,7413.610616841106,0,34442,7490.237083165045,7474.911789900258,7421.2732634735,69172,8011.297054167831,6827.418149462972,9770,10,-0.0071611253196930975,0.012065119902620816,0.012551600035931325,0.011633100424606692,0.010345422022285259,0.011944193434963462,0.012022772805993467,-0.5705348560496689,0.40642848144591104,0.5776361784766358,0.4541476982854727,-0.30228450510182187,0.5069495588963089,-0.5857874061236198,-0.011334363730035964,-0.028851107676455448,-0.023699124162802638,-0.014425553838227724,-0.015971148892323605,-0.06712084213982311,0.11289861698479826,0.014833759590792863,0.01184956208140138,0.0030911901081916377,0.5085365889449257,-0.2755107354797138,0.2911700341161049,-0.03490233829299535,0.27890827066970525,-0.15166639919903457,256131327.4911801,65662237.656116895,210729899.963815,0.31159430943303223,1.761862252526947,0.8235278930378253,1.2237588402047168,0.4238783720449913,0.19117593623067425,0.8129936435277458,0.5753304120897976,-0.6344841666742185,-0.05757160483011027,0.5102042065219079,0.15680551181093988,0.5744688695812962
906,,2023-05-10,NR2307,7382.96003031153,7352.309443781955,7536.212962959408,7287.176947406607,0,60617,7436.598556738288,7394.454000260122,7474.911789900258,67718,8072.598227226982,6873.394029257335,9765,10,-0.011334363730035964,0.013448261895319856,0.012814762712048525,0.011661783169146903,0.010390110898441066,0.011646864159597021,0.01195919358442501,-0.8844770663899473,0.16494492426594137,-0.17185479670874612,0.31744656570210517,-0.4701789451536651,0.18161053728225568,-0.5227666232799958,-0.017717561229807305,-0.012506513809275721,-0.003126628452319023,-0.0046899426784785345,0.0010422094841062175,0.9287207479240462,0.08883652344879431,0.00154559505409588,0.025013027618551197,0.008858780614903652,0.3592004351150724,-0.21087131248292668,0.06852728499302867,-0.06320674291170972,0.12358307432478005,-0.19102064785526943,445674941.5537308,83506905.88592769,224097228.7062377,0.37263694142061154,0.840132852527877,1.0246150552340714,1.4110892173230383,0.6614002463406305,0.24237075367287317,0.8090840035404391,0.6858254389209478,-0.42314767288705735,-0.0531739811435946,0.5766892545856762,0.1895494441231624,0.5890069626921007
907,,2023-05-11,NR2307,7386.791353627727,7222.044451031258,7428.935910105894,7183.731217869289,0,58038,7352.309443781955,7275.682977458016,7394.454000260122,64725,7984.477790954452,6800.598886249593,9480,10,-0.017717561229807305,0.015481090820218986,0.013461303441425675,0.011780287743763827,0.01059600705715767,0.011698077180320487,0.012008958376732975,-1.3161846701474291,-1.5356899311481447,-0.49236164383964415,-0.050428180380370786,-0.5614787828700295,-0.034202147770482055,-0.5717529111068632,0.005305039787798465,0.01485411140583555,0.013262599469495973,0.019098143236074297,0.025464190981432353,0.5088836465018064,0.012227177412209456,0.002084418968212682,0.028647214854111508,0.005305039787798339,0.053503366097741596,-0.18996088904883665,-0.08392044100654977,-0.11598858346225106,0.06129760382737818,-0.19049844292007256,419153015.8489522,91842218.35206105,237874953.20773798,0.38609453039746705,-0.27030738374011004,0.7714087139109682,1.175102917868569,0.709290273748947,0.26314894382208154,0.7974251584183748,-0.26092479472518726,-0.5389993728444518,-0.1183503698304858,0.6242471931952328,0.18181361342968336,0.599619712090834
908,,2023-05-12,NR2307,7222.044451031258,7260.357684193228,7302.502240671394,7191.393864501682,0,45784,7222.044451031258,7248.863714244637,7275.682977458016,60633,7854.212798203755,6693.321833396079,9485,10,0.005305039787798465,0.0159170522418691,0.013461125697307558,0.011785366225021536,0.010590257061669663,0.011695556538866732,0.012013811616458385,0.39410075405948836,-1.0164599917293118,-0.5601309545378111,-0.050568152928519745,-0.44760471138483743,-0.03850271324586321,-0.5403051973650036,0.00949868073878623,0.007915567282321796,0.013720316622691263,0.020052770448548748,0.02532981530343007,0.27886901685102866,-0.10597141753572809,-0.014323607427055692,0.005804749340369342,0.009498680738786356,-0.07178848727058271,-0.14664358563424845,-0.03889499338826928,-0.13779614679212088,0.1481791165874634,-0.19088744612198047,332408216.21310276,90999111.76993059,247595533.6530469,0.36753131378147846,-0.5460423892447938,0.5057204211193365,0.979787705255343,0.6596658344751205,0.2350054194084073,0.7814909127857584,0.06688172632843269,-0.2303908651888442,-0.12564589210733704,0.6703691311066701,0.17621796997724892,0.611538123783701
909,,2023-05-15,NR2307,7279.514300774213,7329.321503884773,7359.972090414349,7264.189007509425,0,34152,7260.357684193228,7310.164887303788,7248.863714244637,59256,7827.393534990377,6666.5025701827,9580,10,0.00949868073878623,0.011405678364026227,0.013624379397007325,0.011837357860692344,0.010668123735900469,0.011541517198786743,0.012017971005323008,0.6971826357736831,-0.1324948260761767,-0.441498193716267,0.07061048270986739,-0.34959039377150763,-0.12489082464841328,-0.45794636386639803,-0.0015682174594877695,0.004181913225300595,0.010454783063251425,0.0156821745948772,0.016727652901202254,-0.31847370260352964,-0.17706529447660516,-0.02902374670184696,0.004181913225300595,0.008886565603763654,-0.11402785886374427,-0.12298294894872236,-0.031438621451361434,-0.14470069999204252,0.1167394888136802,-0.21429393860876608,250310988.00067276,88956253.34079261,251804951.27202168,0.35327444075829273,0.1076077052709289,0.5759275297008674,0.9308286807623274,0.6384888693137963,0.25917310227339996,0.778940584017366,0.3273197343561118,-0.08357957051618481,-0.16480612406697726,0.7208002586826758,0.179304425582387,0.6239023067162255
910,,2023-05-16,NR2307,7336.984150517167,7317.827533936182,7356.140767098152,7298.670917355197,0,27986,7329.321503884773,7325.490180568576,7310.164887303788,58996,7892.526031365725,6723.972419925654,9575,10,-0.0015682174594877695,0.011326690003335175,0.013614333817517326,0.011837398367019317,0.010636111937962796,0.011540573418165537,0.011848723092289157,-0.11518870335542761,0.5624340842895558,-0.232927514179674,0.08834095994790427,-0.30024532976007046,-0.14851927035480766,-0.5917533631367763,0.005759162303664995,0.01204188481675397,0.01727748691099486,0.01832460732984294,0.004188481675392566,-0.18903724525650034,-0.17172944511948157,-0.013591217982226839,0.0052356020942408935,0.0026178010471203847,-0.14726583790293077,-0.10529093072865015,-0.037421985929871074,-0.1409237449861635,0.11604935296544171,-0.21233433902266488,204796721.364738,87951353.85201204,253179357.4726952,0.3473875387392015,-0.13503140446499287,0.6941143426054127,0.9345456743841356,0.7004190753367888,0.27822692186130543,0.7791606919339938,-0.6399734704044302,0.1551158413934236,-0.1938035320477247,0.7589275465183039,0.18327582864047376,0.6402667485499011
911,,2023-05-17,NR2307,7333.15282720097,7359.972090414349,7398.285323576318,7310.164887303788,0,23676,7317.827533936182,7352.309443781955,7325.490180568576,57678,7907.851324630513,6739.297713190442,9560,10,0.005759162303664995,0.010811815484717565,0.01359738364190302,0.0105547296816913,0.010655945821153544,0.01130763717088731,0.011848357948399866,0.4235492985515979,0.582570052011054,0.27221696621768265,0.272071483220869,-0.27653443925770355,-0.2767014021921011,-0.5412873527126609,0.006246746486205069,0.011452368558042708,0.012493492972410139,-0.0015616866215514525,-0.019781363872982884,-1.319981419281069,-0.17018102922232015,-0.0026178010471205088,0.005205622071837516,0.006767308693388845,-0.226618637354565,-0.10459717412846675,-0.07515246371078745,-0.14473540667656307,0.017901785561559788,-0.24056754284183723,174254699.21265012,87871200.1377695,253263237.69330496,0.34695600095020185,0.7141175713269085,0.6230711888682599,0.9332124097992899,0.7037981963596078,0.30623615023473566,0.7958855460021259,-0.5104403204516479,0.040233439046777286,-0.227771142073956,0.8021305102179612,0.210216303967235,0.6572217942681111
912,,2023-05-18,NR2307,7398.285323576318,7405.947970208712,7417.441940157303,7329.321503884773,0,25461,7359.972090414349,7382.96003031153,7352.309443781955,56355,7938.501911160089,6762.285653087623,9655,10,0.006246746486205069,0.004049435347181785,0.01255737743788278,0.010375422463206859,0.010604153535573793,0.011322014527239833,0.011827726476030021,0.49745629747179865,0.4806793333835679,-0.15303794250524946,-0.017892651943778072,-0.3373675392807779,-0.2641672206053859,-0.4983933166922048,0.005173305742369429,0.0062079668908432166,-0.007759958613554205,-0.0258665287118469,-0.02483186756337299,-1.375950329447542,-0.14511598876521378,0.023945861530452847,0.0015519917227108655,0.010346611484738736,-0.22811660139913703,-0.10610588258335091,-0.05417511075898695,-0.1390925617646401,-0.10286667055138837,-0.2008131826695221,188562841.269484,88644402.19960561,252003855.81810203,0.35175811858843026,1.3184522569070165,0.7219437354620297,0.9380225075203759,0.7402478510622634,0.3131038607757672,0.7951537167726368,-0.1006586046072112,0.05282807085621853,-0.21620060740924343,0.8594133778826425,0.2374060166166212,0.6731994423737292
913,,2023-05-19,NR2307,7421.2732634735,7444.261203370682,7467.249143267863,7367.634737046743,0,21503,7405.947970208712,7417.441940157303,7382.96003031153,54725,7972.983821005862,6789.104916301002,9655,10,0.005173305742369429,0.004047775383611571,0.012606427736857276,0.010401343615844995,0.010625299221597646,0.01116191062060153,0.011757762182674096,0.4103704753127082,0.7912758417532388,-0.07610398044301252,0.09236132702950922,-0.3007486481492955,-0.07413923748881437,-0.37440776376644125,0.001029336078229455,-0.012866700977869471,-0.030880082346886342,-0.029850746268656764,-0.016956683885199175,-0.9536546090098582,-0.10483541833022803,0.02172788411795138,0.0030880082346884876,0.010293360782295407,-0.2507554932664975,-0.12482935193696963,-0.08223659270878964,-0.15368511180065952,-0.1270428895191047,-0.2176950280654827,160073948.65607977,88032025.4924797,252531129.95176607,0.348598707451608,1.0373083826196505,0.9334949842862076,0.9612802040737796,0.7848414737512643,0.3355536311397997,0.7948570097434488,0.5459643659054156,-0.036453409779750964,-0.2557712997261745,0.9142189976470771,0.244372951216064,0.6851400793218264
