date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma20,sigma40,sigma252,sigma126,sigma63,sigma5
2014-06-18,B1409,5555.227620594344,5581.794945417847,5581.794945417847,5555.227620594344,0,6,5585.780044141372,5563.197818041395,5585.780044141372,456,5808.945572658792,5362.614515623953,4182,10,-0.0007134363852555793,0.003545288170309231,0.005640695134949052,0.00826097727171744,0.006911988454816374,0.00519168003951081,0.003446354013629897
2014-06-19,B1409,5559.21271931787,5565.854550523745,5565.854550523745,5553.899254353169,0,6,5581.794945417847,5559.21271931787,5563.197818041395,460,5785.03498031764,5341.36065576515,4185,10,-0.002855782960495053,0.003451705943756182,0.005498083468418945,0.008232675936436581,0.006913503541489206,0.005197929237596622,0.00301924239260347
2014-06-20,B1409,5552.570888111994,5560.541085559045,5560.541085559045,5532.645394494368,0,14,5565.854550523745,5548.585789388469,5559.21271931787,472,5781.049881594115,5337.375557041625,4180,10,-0.000954653937947402,0.003482150221603138,0.005537106602693623,0.008235922651869789,0.006807681944230483,0.005207212603006038,0.00231108383716171
2014-06-23,B1409,5548.585789388469,5548.585789388469,5548.585789388469,5548.585789388469,0,0,5560.541085559045,5548.585789388469,5548.585789388469,472,5770.422951664714,5326.748627112224,4186,10,-0.002150023889154444,0.003444689879692225,0.005502752144049322,0.008235322370067789,0.006594519712697916,0.00511965201460242,0.001899786605074454
2014-06-24,B1409,5548.585789388469,5548.585789388469,5548.585789388469,5548.585789388469,0,0,5548.585789388469,5548.585789388469,5548.585789388469,472,5770.422951664714,5326.748627112224,4177,10,0.0,0.00344993509232181,0.005454763820089159,0.008234706945817629,0.006568645540035902,0.005125449736725829,0.0009011358913237499
2014-06-25,B1409,5552.570888111994,5539.287225700243,5552.570888111994,5539.287225700243,0,4,5548.585789388469,5545.929056906119,5548.585789388469,472,5770.422951664714,5326.748627112224,4180,10,-0.001675843907110369,0.00344993509232181,0.005457321960487435,0.008217766934762692,0.006545589569735198,0.00512320047189609,0.001150029778274932
2014-06-26,B1409,5486.152576053239,5511.391534635565,5539.287225700243,5486.152576053239,0,20,5539.287225700243,5508.734802153215,5545.929056906119,474,5767.766219182364,5324.091894629874,4130,10,-0.00503597122302159,0.003421326561777064,0.005472326290347988,0.008215622125240499,0.006549037337842247,0.0050729904260794,0.001099464199684187
2014-06-27,B1409,5508.734802153215,5508.734802153215,5508.734802153215,5508.734802153215,0,0,5511.391534635565,5508.734802153215,5508.734802153215,474,5727.91523194711,5289.554372359321,4149,10,-0.0004820438659917588,0.003354865328433165,0.005270759873658535,0.008199535260994838,0.006488370855956744,0.005131517105749756,0.001899389311686383
2014-06-30,B1409,5579.138212935497,5506.078069670865,5579.138212935497,5421.062630235658,0,28,5508.734802153215,5496.779505982639,5508.734802153215,478,5727.91523194711,5289.554372359321,4200,10,-0.0004822763443452634,0.003324648074635496,0.005257093657007609,0.008197861578171024,0.006286024231383731,0.005135415536311838,0.001972485646210198
2014-07-01,B1409,5496.779505982639,5496.779505982639,5496.779505982639,5496.779505982639,0,0,5506.078069670865,5496.779505982639,5496.779505982639,478,5715.959935776534,5277.599076188745,4145,10,-0.001688781664656214,0.003327752001400924,0.004934412058829484,0.008196225811615852,0.006287074318048987,0.00513221559812149,0.002052425697078992
2014-07-02,B1409,5486.152576053239,5486.152576053239,5486.152576053239,5486.152576053239,0,0,5496.779505982639,5486.152576053239,5496.779505982639,478,5715.959935776534,5277.599076188745,4138,10,-0.001933301111648118,0.003323127197193298,0.004936632708883476,0.00819400921745318,0.005784318778461328,0.005082193731216125,0.001867221540783424
2014-07-03,B1409,5472.868913641487,5472.868913641487,5472.868913641487,5472.868913641487,0,0,5486.152576053239,5472.868913641487,5486.152576053239,478,5705.333005847133,5266.972146259344,4130,10,-0.002421307506053367,0.003326479256456846,0.004929785995934294,0.008194956364467912,0.005787710231096195,0.005000279432695764,0.001863973077406343
2014-07-04,B1409,5446.301588817985,5446.301588817985,5446.301588817985,5446.301588817985,0,0,5472.868913641487,5446.301588817985,5472.868913641487,478,5690.720977194206,5255.016850088768,4120,10,-0.004854368932038699,0.003303072932197736,0.004949215174784753,0.008168395268590862,0.005538117660875784,0.005017236713311246,0.0008797332307614781
2014-07-07,B1409,5433.017926406234,5433.017926406234,5433.017926406234,5433.017926406234,0,0,5446.301588817985,5433.017926406234,5446.301588817985,478,5664.153652370705,5228.449525265265,4100,10,-0.002439024390243834,0.002912567778801503,0.005015949528869849,0.008175552904641071,0.005562737102662686,0.004880641473616741,0.001608478557136069
