,underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open,multiplier,profit,sigma5,sigma20,sigma40,sigma63,sigma126,sigma252
1975,,2018-02-14,TA1805,4883.260792883078,4898.923425504584,4912.84576561259,4871.078745288572,0,328432,4881.520500369576,4893.702547964082,4876.299622829074,949628,5219.13724798872,4533.461997669428,5624,5,0.0035650623885918275,0.0035282624328011915,0.005639907613410777,0.0063357494338557654,0.008312033579441297,0.008888675693557535,0.00998240857003828
1976,,2018-02-22,TA1805,4925.027813207095,4963.314248504112,5010.302146368632,4905.884595558587,0,572520,4898.923425504584,4977.236588612117,4893.702547964082,963880,5236.540173123728,4550.864922804436,5654,5,0.013143872113676795,0.006762784441790597,0.006325166208809413,0.006607657501542429,0.008467369814507833,0.008818233800117002,0.009953492775005951
1977,,2018-02-23,TA1805,4966.794833531113,5006.82156134163,5029.44536401714,4965.054541017612,0,534644,4963.314248504112,5003.340976314628,4977.236588612117,962570,5226.098418042723,4728.374759181512,5754,5,0.008765778401121903,0.0055887230986557635,0.006552463346544783,0.006682553762588303,0.008436894930722326,0.008832125606274817,0.009968908098560724
1978,,2018-02-26,TA1805,5012.042438882132,5074.692969368159,5104.277942097671,5008.561853855131,0,665794,5006.82156134163,5060.770629260152,5003.340976314628,1029108,5253.943098258735,4752.738854370522,5796,5,0.013555787278415048,0.0051803003359193025,0.006868539913542366,0.006909118962943682,0.008532825740153028,0.008894271959168115,0.009879668736588113
1979,,2018-02-27,TA1805,5076.43326188166,5092.095894503166,5123.42115974618,5048.588581665647,0,622774,5074.692969368159,5085.134724449164,5060.770629260152,1085102,5314.853336231261,4806.687922289045,5832,5,0.0034293552812071594,0.00493107230090998,0.006881882195658267,0.006911219468170397,0.008216497107399065,0.008884604364759623,0.009869096562266678
1980,,2018-02-28,TA1805,5092.095894503166,5088.615309476165,5114.719697178676,5059.030336746652,0,480058,5092.095894503166,5083.394431935662,5085.134724449164,1059882,5340.957723933772,4829.311724964555,5854,5,-0.0006835269993164425,0.00619611026465293,0.006227928374166453,0.006483908812585416,0.008185502189174224,0.008862626113474463,0.009868265303776871
1981,,2018-03-01,TA1805,5086.875016962664,5064.251214287155,5095.576479530167,5003.340976314628,0,711198,5088.615309476165,5046.848289152147,5083.394431935662,1048734,5339.217431420271,4827.571432451054,5822,5,-0.004787961696306394,0.0073058098306230486,0.0063506341136149195,0.006563871595659243,0.008203551311390151,0.008832809757915516,0.009871172655095916
1982,,2018-03-02,TA1805,5060.770629260152,5071.212384341157,5079.913846908661,5029.44536401714,0,575570,5064.251214287155,5059.030336746652,5046.848289152147,1050122,5299.190703609755,4794.50587469454,5808,5,0.0013745704467353337,0.006847988965432516,0.006240586784952076,0.0065385459426632875,0.008067316526303034,0.008831221661752915,0.009866048122651445
1983,,2018-03-05,TA1805,5065.991506800655,5034.666241557642,5102.537649584171,5032.925949044141,0,873688,5071.212384341157,5067.731799314156,5059.030336746652,1071370,5313.11304371776,4804.947629775544,5848,5,-0.007206588881262816,0.004375390775615444,0.00649352681594703,0.0066698729283703176,0.008092442841361297,0.008800604432883394,0.009875226861085499
1984,,2018-03-06,TA1805,5034.666241557642,5024.224486476637,5062.510921773654,5017.263316422634,0,519830,5034.666241557642,5036.406534071142,5067.731799314156,1036238,5321.814506285264,4813.649092343047,5792,5,-0.002073971655720793,0.003381054727304383,0.006242648206772275,0.0065279453112347926,0.008096133471459632,0.00880255353696838,0.009799306023010431
